Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
RandomForestClassifier,0.9192708333333334,0.933572710951526,0.9027777777777778,0.9179170344218888,0.9745174455054012
KNeighborsClassifier,0.8585069444444444,0.7971223021582734,0.9618055555555556,0.8717545239968528,0.8585069444444445
SVC,0.7925347222222222,0.7713365539452496,0.8315972222222222,0.8003341687552213,0.8769501109182098
DecisionTreeClassifier,0.7899305555555556,0.7830508474576271,0.8020833333333334,0.7924528301886793,0.7899305555555556
LogisticRegression,0.6961805555555556,0.6934931506849316,0.703125,0.6982758620689655,0.7666678722993828
